Course,Discipline,policy_text,Contributor,Rights for Reuse,Institution,word_count,category
CSE 3500 Algorithms and Complexity,Computer Science,"You are welcome to use AI tools such as ChatGPT to generate ideas, clarify homework questions when they are unclear, review topics, clear up any confusing concepts, help select an algorithm for a group or individual project, and help write the group project report. However, whenever you use them, you must include an acknowledgment statement that briefly explains how you used the tool. For example, 'I used ChatGPT to review the definition of Big O notation in question 1’ or ‘I used GPT-3 to find a good algorithm for my individual project’ or 'While I was writing the group project report, after writing my second paragraph, I used ChatGPT to revise it.’
Please also note that all large language models can still generate incorrect facts and fake citations. You will be responsible for any inaccurate, biased, offensive, or otherwise unethical content you submit, regardless of whether it originally comes from you or an AI tool.",Lina Kloub,Creative Commons 4.0 By Noncommerical,University of Connecticut,155,STEM
CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,"Cheating is wrong. Cheating hurts our community by undermining academic integrity, creating mistrust, and fostering unfair competition. The university will punish cheaters with failure on an assignment, failure in a course, permanent transcript notation, suspension, and/or expulsion. Offenses may be reported to medical, law or other professional or graduate schools when a cheater applies. Violations can include cheating on exams, plagiarism, reuse of assignments without permission, improper use of the Internet and electronic devices, unauthorized collaboration, alteration of graded assignments, forgery and falsification, lying, facilitating academic dishonesty, and unfair competition. Ignorance of these rules is not an excuse.

Academic honesty is required in all work you submit to be graded. Except where the instructor specifies group work, you must solve all homework and programming assignments without the help of others. For example, you must not look at anyone else’s solutions (including program code) to your homework problems. However, you may discuss assignment specifications (not solutions) with others to be sure you understand what is required by the assignment. If your instructor permits using fragments of source code from outside sources, such as your textbook or on-line resources, you must properly cite the source. Not citing it constitutes plagiarism. Similarly, your group projects must list everyone who participated.

In the above paragraph ""outside sources"" also include content that was produced by an AI assistant like ChatGPT. This follows either by treating the AI assistant as a person for the purposes of this policy (controversial) or acknowledging that the AI assistant was trained directly on people's original work. Thus, while you are not forbidden from using these tools, you should consider the above policy carefully and quote where appropriate. Assignments that are in large part quoted from an AI assistant are very unlikely to be evaluated positively. In addition, if a student's work is substantially identical to another student's work, that will be grounds for an investigation of plagiarism regardless of whether the prose was produced by an AI assistant.","Daniel Khashabi
More information here.","Copyright maintained, new reuse or repurpose rights granded.",Johns Hopkins University,328,STEM
CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,"We treat AI-based assistance, such as ChatGPT and Github Copilot, the same way we treat collaboration with other people: you are welcome to talk about your ideas and work with other people, both inside and outside the class, as well as with AI-based assistants. However, all work you submit must be your own. You should never include in your assignment anything that was not written directly by you without proper citation (including quotation marks and in-line citation for direct quotes). Including anything you did not write in your assignment without proper citation will be treated as an academic misconduct case.

If you are unsure where the line is between collaborating with AI and copying from AI, we recommend the following heuristics:

- Never hit “Copy” within your conversation with an AI assistant. You can copy your own work into your conversation, but do not copy anything from the conversation back into your assignment. Instead, use your interaction with the AI assistant as a learning experience, then let your assignment reflect your improved understanding.
- Do not have your assignment and the AI agent itself open on your device at the same time. Similar to above, use your conversation with the AI as a learning experience, then close the interaction down, open your assignment, and let your assignment reflect your revised knowledge. This heuristic includes avoiding using AI assistants that are directly integrated into your composition environment: just as you should not let a classmate write content or code directly into your submission, so also you should avoid using tools that directly add content to your submission.

Deviating from these heuristics does not automatically qualify as academic misconduct; however, following these heuristics essentially guarantees your collaboration will not cross the line into misconduct.","David Joyner, also shared on Twitter",Creative Commons 4.0 By,Georgia Tech,292,STEM
Data Structures and Algorithms,Computer Sciences,"Generative AI systems (like ChatGPT), if used correctly, can serve as powerful tools for learning and idea refinement. In this course, you can use generative AI systems to learn about concepts iteratively through a conversation (much like you would have a conversation with a peer, TA or an instructor). However, you cannot ask these systems to directly give you answers or write code for you. One reason for this is because the answers that the system generates can be inaccurate (no matter how confident the system might sound). But more importantly, I believe the intellectual growth you can get from working through a difficult problem and discovering the answer for yourself cannot be replicated by just reading a pre-generated answer. Here are some concrete rules that exemplify this (but are not intended to be comprehensive):

Do NOT:
- Give the model a problem description and ask it to sketch an algorithm for you or write you pseudo code. 
- Give the model the homework description and ask it to organize the code for you (e.g., generate the necessary function headers, write the main functions etc).  
- Give the model a function description and ask it to generate code for you. 
- Have your conversation with the model and your assignment open at the same time. Use your conversation with the AI as a learning experience, then close the interaction down, open your assignment, and let your assignment reflect your revised knowledge.

Using the AI system in ways as described above will count as cheating even if you cite the AI system as a source. 

You CAN:
- Ask clarification questions about the fundamentals of programming (e.g., “When should I use a public vs. private method in Java?”)
- Ask for conceptual clarifications (e.g., “What is the difference between average case and best case run times?”)
- Try to work through the logic of something you don’t understand (e.g., “Why is the run time of this algorithm [describe] n^2?”)
- Given a problem description and your proposed algorithm and “talk” through the potential fallacies.

Note, for any of these models having the correct “prompt” is necessary. So you may have varying levels of success using these models to gain conceptual understanding, and in many cases just talking to your instructors/ TA/ peers or even doing straight up googling is likely to yield better results.  If you do decide to use these models, it is your responsibility to also fact check the insights that you gain.",Grusha Prasad,Creative Commons 4.0 By,Colgate University,414,STEM
Criminal Justice Policy; Police & Society,Criminal Justice,"Artificial Intelligence (AI) is a tool, not a shortcut! Use it to enhance your learning, not replace it. See AI Tutorial page for tools and resources. Some assignments in this course may allow or require the use of AI. 

RULE 1: INTEGRITY: You may not submit any work for this course, generated (in part or whole) by AI as your own, without disclosure. This is a violation of academic integrity, and I will follow the procedure outlined in the academic dishonesty policy. 

RULE 2: ACCOUNTABILITY: You are accountable for all work with your name on it. It is your job to ensure all AI information used is accurate, properly sourced and cited, reliable, and valid. AI hallucinates (makes stuff up). This is especially true for specialty topics, like those you are studying in this major. Treat AI outputs like information from an unknown source – verify facts using credible academic or professional sources.

RULE 3: TRANSPARENCY: For every assignment (including reading summaries), students shall include an AI disclosure statement that truthfully specifies which tools (if any) were used, how they contributed to the work, and the specific portions of the assignment they influenced. Some assignments require AI prompts in addition to a general disclosure statement. See assignment instructions for specific info. 

Example of an excellent disclosure statement: “I used ChatGPT as a research and learning support tool. Specifically, I used ChatGPT to generate an initial summary of the X Police Department’s history and to provide examples of APA 7th-formatted citations and source links. I then reviewed, evaluated, and verified the AI-generated information by reviewing it against official City of X webpages and reputable news sources. I then critically analyzed the AI’s response, identified areas where details were missing or generalized, and incorporated my own research findings and evaluation into the final written analysis. All interpretation, critique, and conclusions in sections 1-5 are my original work, and I take full responsibility for the accuracy and integrity of the content.”

We use APA 7th reference formatting in this class and discipline. Here is a recommended citation for the latest (rel: 12/20/2025) free version of the ChatGPT and GPT 1.5 applications, owned by OpenAI. 

OpenAI. (2025). ChatGPT 5.2 [Large language model]. https://chat.openai.com/ 
OpenAI. (2025). GPT Image 1.5 Image-generation model]. https://chat.openai.com/
In text: (OpenAI, 2025)

AI Disclosure: I used ChatGPT to suggest improvements to my previous AI policy and suggest syllabus language appealing to a GenZ audience. Can you spot the sentences it wrote?","Christie Gardiner
",Creative Commons 4.0 By Noncommerical & Share Alike,"California State University, Fullerton",410,Professional
Judaism; Jewish Language in the 21st Century,Cultural Studies,"ChatGPT and other AI generators that use large language models can be useful for researching and writing papers. However, you should be aware of their limitations:
1.        Errors: AI generators make mistakes. Assume the output is incorrect unless you check the claims with reliable sources.
2.        Bias: Their output may reflect bias because the data they are trained on may reflect bias or may not include sufficient data from certain groups.
3.        Citation: These tools use existing sources without citation. Therefore using their outputs puts you at risk of plagiarism.
With these limitations in mind, you are welcome to use AI generators to brainstorm and refine ideas, find reliable sources, outline, check grammar, refine wording, and format bibliographies. Beyond bibliographies, you are not allowed to copy and paste material generated by AI and use it in your assignments. At the end of your bibliography, add a note indicating which AI tool you used and how you used it, including the prompt(s) you used and the date(s).",Sarah Bunin Benor,Creative Commons 4.0 By & Share Alike,University of Southern California (and Hebrew Union College),166,Humanities
Cybersecurity,Cybersecurity,"In this course, we may use generative AI tools to examine how AI impacts our field, with the aim of promoting critical thinking and becoming informed digital citizens. When using generative AI, please make sure to:
Validate the accuracy of any AI-generated content with at least one reliable reference, because generative AI can produce questionable and biased results, including misinformation and “hallucinations”.

Properly attribute your use of AI tools in accordance with the class citation requirements.

Do not share any personal identifiable information (PII) or other sensitive information in your prompts to an AI platform, because generative AI tools may store your prompts (review the AI tool’s “terms of use” regarding data privacy).

Include any limitations of and/or concerns about content you have curated from generative AI.

Revise any AI-generated output to create authentic content that reflect your unique experience with the course material.",Rita Mitra,Creative Commons 4.0 By Noncommerical & Share Alike,The University of Texas at San Antonio,144,Professional
IDEM307 Generative AI + Design,Design,"AI Tools Usage Policy

This course acknowledges the growing role of AI tools in design and engineering practices. Students are permitted to use AI tools (such as ChatGPT, DALL-E, Midjourney, GitHub Copilot, etc.) for ideation, problem-solving, and content generation throughout the course, with the following requirements:

#### AI Usage Documentation

All submissions that incorporate AI assistance must include a dedicated section titled """"AI Usage Documentation"""" that includes:

- **Tools Used**: Specify which AI tools were used (e.g., ChatGPT-4, DALL-E, etc.)
- **Purpose and Scope**: Clearly describe which parts of your work involved AI assistance and for what purpose
- **Prompts and Interactions**: Provide a summary of the key prompts or queries you used
- **Human Contribution**: Explain how you modified, refined, or built upon the AI-generated content
- **Critical Reflection**: Briefly assess the strengths and limitations of the AI assistance for this particular task

#### Guidelines for Appropriate Use

- **Conceptual Understanding**: AI tools should supplement, not replace, your understanding of core course concepts. You are responsible for comprehending all content in your submissions, regardless of how it was generated.
- **Original Thinking**: AI should be used to enhance your creative process, not substitute for critical thinking or original design decisions.
- **Attribution**: Using AI-generated content without proper documentation will be considered a violation of academic integrity policies.
- **Limitations**: For certain components of assignments that are specifically designed to assess individual skills, restrictions on AI use may apply. These restrictions will be clearly stated in assignment instructions.",Gerd Kortuem,Public Domain,Delft University of Technology,248,Professional
ECON 225 Economic Development and Growth,Economics,"AI Policy for ECON 225: Economic Development and Growth (DRAFT)

Purpose and Rationale
As artificial intelligence (AI) continues to advance, being able to use AI tools effectively is becoming a crucial skill for future employment. This course acknowledges the growing importance of AI literacy and aims to equip students with the ability to effectively leverage AI technologies. However, mere reliance on AI without the ability to critically analyze, write, and discern high-quality work will not suffice for long-term success in the workplace. Therefore, this AI policy attempts to balance integration of AI tools with the development of fundamental communication and analytical skills.

AI Tool Usage and Acknowledgment
Students are encouraged to use AI tools as part of their learning process and coursework to enhance their understanding and productivity. The following guidelines are meant to ensure transparency and academic integrity in the use of AI:

1.        Disclosure of AI Usage: Any use of AI tools in the completion of assignments, projects, or other coursework must be explicitly disclosed. Students must include a statement specifying the AI tools used, the extent of their use, and the specific tasks for which AI assistance was sought.

2.        Prompt Disclosure: Students are required to provide a list of all prompts entered into the AI tools. This disclosure should be included as an appendix in the submitted work.

3.        Manual Transcription of AI-Generated Text: To ensure that students engage with and critically evaluate AI-generated content, any text generated by AI tools must be manually typed into the final document by the student. This process encourages students to review, reflect on, and comprehend the material, thereby reinforcing learning and promoting intellectual engagement.

Academic Integrity and Evaluation
The integration of AI tools must align with the principles of academic integrity. The K College honors states: """"To safeguard the integrity of academic work and research, we accept responsibility for our own scholarly performance. We regard false representation of our scholarly work as unacceptable because it undermines our integrity and that of the community."""" Evaluation of student work will consider not only proper use and acknowledgment of AI tools, but also demonstration of critical thinking, originality, and ability to produce high-quality academic work independently of AI assistance.

Encouragement for Skill Development
The objectives of this policy are to (1) prepare students for the evolving demands of the job market by advancing AI literacy, (2) promote essential cognitive skills, and (3) promote deep and personalized learning. Students are encouraged to experiment with AI tools to enhance their learning experience, while simultaneously developing the ability to think critically, write effectively, and produce high-quality work that reflects their understanding, values, and insights.

Conclusion
This AI policy highlights the importance of transparency, academic integrity, and the development of a comprehensive skill set that integrates AI proficiency with essential academic competencies. Students are encouraged to embrace the opportunities presented by AI while maintaining a commitment to critical thinking and high-quality scholarly work.",Patrik Hultberg,Creative Commons 4.0 By & Share Alike,Kalamazoo College,487,Professional
Digital Interventions - AI & Education ,Education,"There are situations and contexts within this course where you will be asked to use AI tools to explore how they can be used.  Outside of those circumstances, you are discouraged from using AI tools to generate content (text, video, audio, images) that will end up in any student work (assignments, activities, responses, etc) that is part of your evaluation in this course. Any student  work submitted using AI tools should clearly indicate what work is the student’s work and what part is generated by the AI.  In such cases, no more than 25% of the student work should be generated by AI.  If any part of this is confusing or uncertain, please reach out to me for a conversation before submitting your work.","Lance Eaton
@leaton01 (Twitter)
LinkedIn
 
CU’s Institutional Strategy for AI Generative Tools",,College Unbound,124,Education_General
Educational Psychology (EPSY) 822 Instrument Development,Education,"Use of Artificial Intelligence in Education (AiED) 

Within this course, you are welcome to use generative artificial intelligence (Ai) models (Poe.com, You.com, Copilot, ChatGPT-o, DALL-E-3, Claude, Bard, Perplexity, etc.) with correct acknowledgment (you can ask the AI to cite itself in APA7 to help you). However, you should note that all large language models, image generators, and chatbots have a tendency to locate incorrect facts and submit them as fact, make incorrect citations, perpetuate biases, create offensive products, and may violate copyright. Therefore, be sure that you consider ethical AI usage, data privacy and security, addressing potential biases in AI algorithms, and appropriately balancing technology with human interaction as you will be responsible for any inaccurate, biased, offensive, or unethical content you submit, regardless of its orgin (you or the AI). 

AI tools should support, not replace, your learning. Think critically about all of your assignments but particularly if you choose to use AI. AI should enhance learning, not substitute critical thinking and knowledge construction. 

Use of AI is entirely voluntary and optional.

If you use an Ai model, its contribution must be cited ACCURATELY AND INCLUDE: 
What was your prompt? Was the Ai model your original output for your submission? 
Did you ask follow-up questions? 

Feel free to look at the following AI Frameworks for guidance:
1. AIEd Framework (AIK12, 2019) The Artificial Intelligence (AI) for K-12 initiative 5 https://ai4k12.org/ 
2. Long & Magerko’s (2020) Framework (5 comps, 15 design, 17 lit)                 https://dl.acm.org/doi/10.1145/3313831.3376727 
https://olj.onlinelearningconsortium.org/index.php/olj/article/view/4426/1363 

Student Frameworks:
3. ISTE’s (2022) International Society for Technology in Education 7 standards using AI to become https://iste.org/standards 

Educator Frameworks:
4. DigComp (Falloon, 2020) https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en 

5. TPACK (Voithofer & Nelson, 2021) framework: 3 focuses Technological Pedagogical Content Knowledge  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10368588/ 

6. AI UDL (2024) Institute for Advanced Learning Technologies) https://ialt.education.ufl.edu/2024/05/06/a-framework-for-inclusive-ai-learning-design-for-diverse-learners/","Maggie Mosher, Ph.D",Creative Commons 4.0 By,University of Kansas,294,Education_General
INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,"The Use of Artificial Intelligence (AI) Tools in ED 576 
The Warner Pacific University recognizes the potential benefits of incorporating AI tools in the classroom environment. AI tools are powerful aids in academic work, but they have limitations that must be understood to use effectively and responsibly. These tools are not developed to provide users with creative output and often cannot process complex subject matter. AI lacks human judgment and relies heavily on input data and may inadvertently perpetuate biases. (Stanford University Human-centered Artificial Intelligence, 2023). While AI can assist, it cannot replicate the nuanced guidance of a human instructor and cannot be used as a replacement for personal effort and critical thinking.  
 
Understanding these limitations is crucial to responsible AI use in academic work. This policy was developed to reinforce and support the Warner Pacific University Academic Integrity policy.  
 
The Warner Pacific University Academic Integrity Policy 
Students are expected to adhere to the highest standards of honorable conduct in academic matters. If students and faculty are to build a learning community, it is essential that students present their own work in their classes. 
The following situations constitute a breach in academic integrity:  
1.        Cheating (the use or attempted use of unauthorized materials, information, or study aids) 
2.        Fabrication/falsification (intentional falsification or invention of information, including false sign-in)  
3.        Plagiarism (the use of another's ideas, words, data, or product, including tables and figures, without proper acknowledgment) 
4.        Identical work (submitting work for multiple purposes without permission or submitting work that closely parallels another student's submission when collaboration is not allowed) 
5.        Assisting in dishonesty (helping or attempting to help another commit an act of academic dishonesty, tampering with evaluation materials, distributing unauthorized questions or answers related to an examination/test) 
6.        Misuse of electronic resources (the use of unauthorized electronic resources to complete an assignment)  
 
All incidents of willful dishonesty or plagiarism will be reported in writing to the Vice President for Academic Affairs (VPAA). Possible actions that may be taken by a faculty member who suspects a student of academic dishonesty (after conversation with the student in order to determine the student’s awareness of the problem) are listed below. In order to protect both student and faculty involved, the VPAA must be present during any action taken beyond the oral reprimand/ counseling stage:  
1.        Oral reprimand (by faculty member)  
2.        Requirement to resubmit work or retake an examination/test (by faculty member)  
3.        Reduction of grade or failing grade on assignment/exam (by faculty member with Division Dean or VPAA)  
4.        Reduction of grade for the course (by faculty member with Division Dean or VPAA)  
5.        Failing grade for the course (by faculty member with Division Dean or VPAA)  
 
If a satisfactory resolution is not reached after these actions have been taken, either faculty or student may refer the matter to the Academic Policies Committee for resolution, which will address the issue using the regularly established procedures for academic appeals.  
 
At the discretion of the VPAA, repeat offenses may result in suspension or administrative dismissal from the university.  
 
All the above procedures must be carried out in accordance with the Warner Pacific University Education 
Records Policy in compliance with the Family Education Rights and Privacy Act (Public Law 93-380). (""Warner Pacific University Catalog,"" 2022) 
 
Policy on the Use of Artificial Intelligence (AI) Tools in [insert course number] 
To ensure responsible and ethical use of AI tools, the following policy has been established: 
 
1.        Permitted Use:  
a)        AI tools are permitted in this course to enhance learning and supplement students' understanding of course material.  
b)        Students are encouraged to explore various AI tools that align with the course objectives, with the understanding that the responsibility for their appropriate use lies with the students. 
 
2.        Responsible Use Guidelines:  
a)        AI as Support, Not Replacement: AI tools should augment the learning process, not replace original thinking. While these tools can support idea generation, fact-checking, or language revision, they must not substitute the individual's critical thinking, problem-solving skills, and thought process. Students should consider AI a tool for enhancement and refinement, but the essence of the work must come from their intellectual effort. This ensures that the final work retains originality and reflects the student's perspective and understanding. 
b)        Ownership of Work: With the above understanding, students should maintain ownership of their work by actively engaging with the material, independently formulating ideas, and using AI tools to support their learning process. 
 
3.        Academic Integrity:  
a)        Plagiarism: Students must not use AI tools to generate or modify content with the intention of evading plagiarism detection. All sources, including AI tools, must be properly cited within the text and included in the bibliography.  
b)        Authenticity: Students should use AI tools to augment their understanding and generate ideas, while ensuring that the final work reflects their own analysis, synthesis, and originality.  
c)        Critical Evaluation: Students must critically evaluate the output of AI tools, considering potential biases and limitations, and corroborate information obtained from AI tools with other credible sources. 
 
4.        Instructor Support:  
a)        The instructor is available to provide guidance, clarification, and support to students regarding the appropriate use of AI tools in [insert course number]. 
b)        Students are encouraged to consult the instructor if they have questions or require assistance related to the responsible and ethical use of AI tools. 
5.        Citation Guidelines:  
a)        Direct quotes or paraphrased content generated by AI tools should be treated as any other source and attributed correctly. See https://apastyle.apa.org/blog/how-to-cite-chatgpt for further information. 
b)        Students must acknowledge the use of AI in any work they submit for class. Text directly copied from AI sites must be treated as any other direct quote and properly cited. Other uses of AI must be clearly described at the end of the assignment. For example, a student might write: 
 
""In this paper, I used the AI tool ChatGPT to generate some of the ideas for my argument. I have cited ChatGPT in the bibliography and included a note at the end of the paper explaining how I used ChatGPT."" (""Teaching and Learning at Cleveland State University,"" n.d.) 
 
By adhering to this policy, students will benefit from the responsible and ethical use of AI tools, promoting academic integrity, critical thinking, and enhanced learning outcomes. This policy provides a framework for the appropriate use of AI tools in ED 611A, while allowing flexibility for individual instructors to establish additional guidelines or requirements aligned with course objectives. 
 
Suggested uses for AI 
1.        Brainstorming and idea generation: Students can use AI tools to generate ideas, prompts, or potential research topics. For example, they can use AI-powered chatbots or text-generation tools to explore different angles or perspectives related to their assignments. However, they should ensure the final work reflects their analysis and synthesis of the generated ideas. 
 
2.        Language enhancement and revision: AI tools can improve clarity, grammar, and written work style. Students can utilize AI-powered writing assistants or proofreading tools to identify errors, suggest edits, or provide alternative phrasing. However, students must review and incorporate these suggestions to align with their voices and maintain their original work's integrity. This might be done using a tool such as Grammarly. 
 
3.        Fact-checking and information gathering: AI tools can assist students in finding relevant information, verifying facts, or identifying credible sources. Students can use AI-powered search engines or data analytics tools to gather supporting evidence or explore different perspectives. It is essential that students critically evaluate and corroborate the information obtained from AI tools before incorporating it into their assignments while also providing appropriate citations. 
 
4.        Language translation and communication support: AI tools can aid students who are non-native speakers or need assistance in language translation. Students can use AI translation tools to enhance their understanding of academic texts or to communicate their ideas more effectively. However, they should ensure that they fully comprehend the translated content and make necessary adjustments to align with the requirements of their assignments. 
 
5.        Data analysis and visualization: In research-focused courses, students might employ AI tools to analyze and visualize complex datasets. Students can use AI-powered data analysis tools or visualization software to gain insights from data and present their findings. It is crucial that students understand the underlying principles of data analysis and interpretation and can explain the results derived from AI tools in their own words. 
 
In all these examples, responsible use of AI tools involves using them as aids or tools to enhance the student's work rather than relying on them as a substitute for critical thinking or originality. Students should exercise judgment, critically evaluate the output of AI tools, and take ownership of their final work by incorporating their analysis, ideas, and interpretations. 
 
References 
American Psychological Association. (2020). Publication manual of the American Psychological Association (7th ed.). https://doi.org/10.1037/0000165-000 
 
Center for Faculty Excellence. (n.d.). Example policy statements for AI in higher education. In Teaching and 
Learning at Cleveland State University. Retrieved June 1, 2023, from 
https://pressbooks.ulib.csuohio.edu/teachingandlearning/chapter/statements/ 
 
Chan, C. K. (2023). A Comprehensive AI Policy Education Framework for University Teaching and Learning. ArXiv. https://doi.org/10.48550/arXiv.2305.00280 
 
Google. (2023). Google Bard: Personal communication. Google Bard [Large Language Model]. Retrieved from https://bard.google.com 
 
McAdoo, T. (2023, April 7). How to cite ChatGPT. Apa Style. Retrieved June 2, 2023, from https://apastyle.apa.org/blog/how-to-cite-chatgpt 
 
OpenAI. (2023). ChatGPT (June 1 version) Retrieved from https://chat.openai.com/c/fd0e917d-1d96-4c32-bf353071c5367ca2 
 
Stanford University Human-centered Artificial Intelligence (2023, March 9). AI will transform teaching and learning. Let’s get it right. HAI. Retrieved June 2, 2023, from https://hai.stanford.edu/news/ai-willtransform-teaching-and-learning-lets-get-it-right 
 
Warner Pacific University. (2023). Warner Pacific University Catalog 2022-2023 [PDF]. Retrieved from https://www.warnerpacific.edu/wp-content/uploads/2022/06/catalog_2022_23_WPU_FINAL_web.pdf 
 
Please note: This policy was drafted using the AI tool Google Bard to generate some of the ideas. (Google Bard AI language model, 2023).  Additionally, AI tool ChatGPT was used to refine some of the language and provide feedback (OpenAI., 2023)","ANDREW TORRIS, ED.D.",Creative Commons 4.0 By Noncommerical,Warner Pacific University,1617,Education_General
Teaching HASS (Humanities and Social Sciences) Curriculum in Primary School,Education,"Use of AI tools in EDUC2760*

We will use AI tools that harness large language models, including ChatGPT (and DALL-E 2 among others), as pedagogical opportunities for learning and teaching in the course. Doing so aligns with the course objective on digital literacies (course objective 4) and opens up a class dialogue about the role of AI in education, including opportunities and complexities for teachers' everyday work in facilitating the learning of diverse student cohorts. AI in education is a vital topic for pre-service teachers who have to navigate ongoing changes in the educational landscape caused by digital technologies like AI and machine learning. 

Maintaining high ethical standards of integrity as per UQ policy and as professional teachers mean any use the AI in assessment tasks will be identified and referenced.

At the beginning of the course, we will co-create a class agreement on the use of AI tools that ensures everyone has equal access to

such tools and knowledge of their benefits and limitations;
understands the appropriate use of them; and
is clear on policies and procedures for their use.
The co-created class agreement will align with UQ's academic integrity policies and procedures. We will revisit the agreement throughout the semester to ensure all students and the teaching team have a shared understanding of expectations and policies while recognising we will hold differing personal and professional views on AI in education.

 
*I wrote this text and then input it into ChatGPT with the following prompt: Review some text for grammar and spelling. The output found no spelling errors but is limited to US English spelling. The output also made three suggestions to revise sentences for conciseness. One suggestion made no sense, another messed up comma use but reduced some words that I adopted, and the last one I took on board (reduced repetition in the first sentence where I had referred to 'in the course' twice).","Kelly Matthews
Twitter
Publicly Accessible Syllabus",,"University of Queensland (UQ), Australia",317,Education_General
Thesis: Neuroscience & Education,Education,"TC’s Student Conduct Code, Section 2.3.1 defines cheating as using or attempting to use unauthorized assistance, technology (including the uncited use of generative artificial intelligence), material or study aids in examinations or other academic work.

I do not prohibit the use of ChatGPT or other AI tools. However, I note that these tools are prone to error, and their output requires substantial editing. If you make use of these tools, you MUST evaluate and edit their output to ensure appropriate levels of accuracy, language, and content. ANY use of AI must be acknowledged and cited in your thesis.
 
 We follow the APA 7 guidelines on the use of ChatGPT and other AIs: https://apastyle.apa.org/blog/how-to-cite-chatgpt
And I encourage the use of AI Archives https://aiarchives.org/ to facilitate unique identifiers for AI exchanges.",Karen Froud,Contact me for specific permissions,"Teachers College, Columbia University",129,Education_General
Educación Ambiental FD5043 UCR,Education,"-        El plagio es considerado una falta muy grave según el artículo 4 incisos j y k del reglamento de orden y disciplina de los estudiantes de la Universidad de Costa Rica, que puede conllevar a la suspensión entre 6 meses y 6 años según el artículo 9 inciso a de dicho reglamento. 
-        Cualquier uso de inteligencia artificial debe seguir las pautas del docente y documentarse debidamente.",Héctor Perdomo Velázquez,Public Domain,Universidad de Costa Rica,68,Education_General
Multiple courses,Education,"Artificial Intelligence & Large Language Models
Generative artificial intelligence (AI) and large language models, such as Chat GPT, use deep learning algorithms to generate text that's similar to what a human might write. The applications have been trained on a huge amount of text data and can generate text based on a user-provided prompt. This makes these applications useful for a variety of tasks, like language translation, text summarization, and answering questions.

For students, artificial intelligence language models, such as Chat GPT, can be a helpful tool for sparking new ideas and getting inspiration for writing assignments. However, it's important to remember that language models aren’t perfect and sometimes can generate text that's not accurate or doesn't make sense, including citations of non-existent sources. It is crucial to acknowledge that any text generated by a language model cannot be used as original work – you need to properly cite any sources you use, just like with any other information you use for a paper.

Cheating and plagiarism are never okay, and using language models to do either is a violation of academic integrity. It's important to understand the ethical side of using AI in academics and to always use AI tools in a responsible and ethical way.

Use of language models:
Language models, such as Chat GPT, are powerful tools for generating text, but it is important to use it responsibly and ethically. Students are encouraged to use language models as a resource for generating ideas and inspiration, but they must never pass off its output as their own work. Any use of language models must be properly cited and acknowledged, just as with any other source of information.

Non-Use of language models:
Language models, such as ChatGPT, should not be used to cheat or plagiarize.
Submitting work generated by language models without proper citation is a violation of academic integrity and will not be tolerated. Students caught using a language model(s) inappropriately will face consequences, including a failing grade on the assignment and a report for Student Misconduct.",Reginald Sample,Contact me for specific permissions,CalSTATE TEACH,339,Education_General
